Time,Temperature,Optical Density
10,23.47927,300
20,22.89236,300
30,23.47927,300
40,23.12689,300
50,23.30297,300
61,23.12689,300
71,23.12689,300
81,23.00958,300
92,23.00958,300
102,23.12689,300
112,23.30297,300
122,23.30297,300
132,23.30297,300
142,23.00958,300
153,23.47927,300
163,23.5801,300
173,23.00958,300
183,23.5801,300
193,23.47927,300
203,23.30297,300
214,23.47927,300
224,23.5801,300
235,23.47927,300
246,23.5801,300
256,23.30297,300
266,23.5801,300
276,23.47927,300
286,23.68099,300
296,23.5801,300
307,23.88296,300
317,23.5801,300
327,23.47927,300
337,23.68099,300
347,19.92459,300
358,20.09826,300
368,19.80886,300
378,20.46905,300
388,21.58434,300
398,19.92459,300

